Level,Item,PartOfSpeech,CorrectAnswer,Distractor_1,Distractor_2,Distractor_3,Dscrimination,Difficulty,Guessing
5,祈り,noun,prayer,globe,nitrogen,ram,1.763445344,0.867110491,0.146760681
5,一致,noun,correspondence,worship,transplant,combat,2.101752108,0.470788272,0.228310849
5,直立した,verb,erect,tremble,deprive,renovate,0.897421946,0.732139682,0.023605534
5,完全な,adjective,integral,offshore,legislative,triple,4.664518195,1.149204272,0.189474551
5,抽象的な,adjective,abstract,inherent,naive,archaeological,1.580515194,0.87277538,0.015360286
6,とても天気の良い,adjective,gorgeous,lightweight,inferior,promotional,1.025096013,1.749771398,0.107175212
6,それゆえ,adverb,hence,urgently,ecologically,nicely,3.266565831,0.139063366,0.140773392
6,概要,noun,overview,spacecraft,alteration,mound,1.171568195,0.385241655,0.014511672
6,祖先,noun,ancestry,coordination,liability,mathematician,5.406075802,1.849344759,0.223867423
6,子孫,noun,descendant,capitalism,acquaintance,ankle,2.186651984,1.476356076,0.217120252
6,実験,noun,experimentation,sunglass,courtesy,pathogen,1.95088357,0.099572259,0.009999375
6,原子,noun,atom,fungus,rust,fist,2.14266932,1.918686369,0.010798947
6,傾向,noun,inclination,projector,resin,infancy,1.188224148,1.153501938,0.012485165
6,自由にする,verb,liberate,encompass,alleviate,circulate,2.241439194,1.572865625,0.140980942
6,誠実な,adjective,sincere,parliamentary,linear,inward,2.260213342,0.23138274,0.237014799
6,市民の,adjective,civilian,oval,simultaneous,damp,2.459542857,2.10402718,0.023075231
6,統計の,adjective,statistical,radioactive,unpopular,jumbo,1.328502326,1.519881344,0.03052115
6,居住,noun,residency,commander,aerial,lieutenant,1.604057075,0.625818207,0.009784785
6,不一致,noun,discrepancy,incorporation,patron,breadth,1.768951192,1.259636801,0.016288437
6,加入する,verb,subscribe,withhold,differentiate,murmur,1.504625459,1.051919735,0.183358244
6,抑制する,verb,restrain,initiate,comprehend,intrigue,1.718921994,1.508925095,0.066375358
6,従う,verb,conform,recite,evacuate,compel,1.499168316,1.704220188,0.045024343
6,嘆き,noun,grief,rifle,miner,naturalist,1.190654462,1.465687782,0.067464176
6,確認,noun,verification,stagnation,deduction,herd,1.357076508,0.063285467,0.027668266
6,分割,noun,partition,motto,pickle,novelty,1.436547924,1.156805144,0.075388072
7,誓い,noun,oath,repertoire,payroll,ensemble,2.607418366,1.253990628,0.15295279
7,保証書,noun,warrant,unison,aerospace,gospel,1.178283629,1.079497204,0.144935933
7,貨物,noun,freight,ignorance,mucosa,mainland,1.582693812,2.493927447,0.125434294
7,主張,noun,assertion,inquest,biopsy,disclosure,1.526385059,1.128084877,0.179224323
7,固定観念,noun,stereotype,precedent,module,dismay,1.815490475,0.716500311,0.173795566
7,補足の ,adjective,complementary,imminent,tricky,eternal,1.953395355,1.330813717,0.230538483
7,運転する人,noun,motorist,secrecy,curator,analogy,1.009881794,0.359536399,0.017611225
7,ちらりと見えること,noun,glimpse,betrayal,disco,banner,8.235971209,1.957962448,0.245054473
7,侵入者,noun,raider,monopoly,skipper,cinnamon,0.910529153,1.109846717,0.021885332
7,外交,noun,diplomacy,injunction,farmhouse,embargo,1.704692686,1.121898148,0.180829136
7,バランスをとる,verb,poise,chuck,knit,shiver,1.644170572,2.072429071,0.012225756
7,装飾用の ,adjective,decorative,aging,hopeless,marital,1.850386245,1.424915714,0.029336212
7,心臓の ,adjective,cardiac,creamy,apt,dire,1.238026129,2.128939002,0.058760019
7,量の ,adjective,quantitative,relentless,median,comparative,1.705042025,1.307471899,0.013960407
7,深く ,adverb,profoundly,loosely,indirectly,etcetera,3.362299306,2.021102273,0.262957042
7,選挙区,noun,constituency,unrest,majesty,baron,1.429261817,1.762680243,0.067466368
7,格言,noun,maxim,brigade,accountant,probation,4.921807818,1.965462901,0.074632629
7,軽蔑,noun,contempt,communism,stimulation,referendum,2.448542275,1.89076986,0.195611866
7,頑固な,adjective,stubborn,pragmatic,bureaucratic,molecular,2.257917758,1.453423684,0.270928237
7,屋根裏部屋 ,noun,attic,referral,embargo,goodwill,0.918663066,1.493042654,0.010343851
8,構文,noun,syntax,brewery,hooker,hawk,1.073602558,2.313498685,0.007482892
8,起訴する,verb,prosecute,grate,lurk,rinse,1.969436951,2.067479967,0.258245339
8,普遍的に,adverb,universally,inadvertently,boldly,immensely,4.64481935,1.039984402,0.397516785
8,匿名であること,noun,anonymity,broom,snooker,saloon,1.151380243,2.232751497,0.010232043
8,子宮,noun,womb,envy,vibration,cooker,0.860980295,2.923696051,0.039692156
8,正気の,adjective,sane,penal,pristine,pancreatic,3.395451911,2.956795768,0.170552335
8,自殺の,adjective,suicidal,longitudinal,disruptive,endoscopic,1.870021399,0.872428416,0.051043617
8,聖歌,noun,anthem,tempo,elegance,slaughter,0.90290467,2.030839616,0.027955575
8,説得,noun,persuasion,persona,variability,heartbeat,2.394844163,1.754181669,0.216140431
8,長期間続く,adjective,perennial,homogeneous,psychic,fluorescent,2.017678981,2.523532022,0.203784539
8,結果として起こる,adjective,consequent,doctoral,stray,recurrent,2.058769766,1.482950312,0.226345832
8,没頭,noun,preoccupation,monsieur,starvation,gypsy,3.644312813,1.063109959,0.262876618
8,恐怖,noun,dread,relegation,deviation,midfielder,3.159228551,1.574088995,0.260122748
8,法令,noun,decree,affinity,devastation,parasite,2.724891439,2.671902775,0.125061289
8,贅沢な,adjective,luxurious,erratic,cunning,indicative,2.483154817,0.56651287,0.084049385
8,省略,noun,omission,gem,resonance,retaliation,0.887333069,2.704704012,0.04424065
8,移り変わり,noun,flux,coating,whereabouts,jeopardy,3.615209634,3.088247983,0.238070649
8,説教,noun,sermon,apprehension,brilliance,pilgrimage,1.675846639,2.652474463,0.10031112
8,雑用,noun,chore,wig,fracture,foreground,1.995237652,2.460883185,0.176671952
8,階層性の,adjective,hierarchical,aristocratic,martial,proprietary,1.667135009,2.799883456,0.052274658
